id,string_id,title,URL,rela_link,city,date,source
63,Job_0063, Research Intern Deep Learning,https://www.indeed.com/rc/clk?jk=8a82e113955d3556&fccid=734cb5a01ee60f80&vjs=3,/Job_pages/63_2021-05-11,"Redmond, WA 98052",2021-05-11,Indeed.com 
64,Job_0064,"CVP, Strategy and Communications",https://www.indeed.com/rc/clk?jk=006207a2d2bd996e&fccid=be240c643a8631c5&vjs=3,/Job_pages/64_2021-05-11,"San Jose, CA",2021-05-11,Indeed.com 
65,Job_0065,Business Internship (9-12 weeks)(unpaid),https://www.indeed.com/rc/clk?jk=c3907bab2607deba&fccid=b8d07b129da81ef0&vjs=3,/Job_pages/65_2021-05-11,"La Jolla, CA",2021-05-11,Indeed.com 
66,Job_0066,JAVA Developer,https://www.indeed.com/rc/clk?jk=ed53e293380d43bc&fccid=105ecfd0283f415f&vjs=3,/Job_pages/66_2021-05-11,"Columbia, SC",2021-05-11,Indeed.com 
67,Job_0067,Business Intelligence Engineer,https://www.indeed.com/rc/clk?jk=317f84aa64c89b2e&fccid=fe2d21eef233e94a&vjs=3,/Job_pages/67_2021-05-11,"North Reading, MA",2021-05-11,Indeed.com 
68,Job_0068,"Distinguished Chief Engineer, Artificial Intelligence & Autonomy",https://www.indeed.com/rc/clk?jk=5afff4d4e14ed239&fccid=30bd8a58380c700b&vjs=3,/Job_pages/68_2021-05-11,"McLean, VA",2021-05-11,Indeed.com 
69,Job_0069,Senior Global Inside Sales Representative,https://www.indeed.com/rc/clk?jk=bb768d0a56f0ebd1&fccid=af103eaff391cdf0&vjs=3,/Job_pages/69_2021-05-11,"Morrisville, NC",2021-05-11,Indeed.com 
70,Job_0070,Data Scientist,https://www.indeed.com/rc/clk?jk=50ab9e8a278e6e20&fccid=4e041af1d0af1bc8&vjs=3,/Job_pages/70_2021-05-11,"Homestead ARB, FL",2021-05-11,Indeed.com 
71,Job_0071,Principal Architect,https://www.indeed.com/rc/clk?jk=d5b8dc0d166a3d9c&fccid=be240c643a8631c5&vjs=3,/Job_pages/71_2021-05-11,"San Jose, CA",2021-05-11,Indeed.com 
72,Job_0072,Product Marketing Intern – AI,https://www.indeed.com/rc/clk?jk=72c9f2ae4d5287c6&fccid=c267f29f0f85e8b8&vjs=3,/Job_pages/72_2021-05-11,"Santa Clara, CA",2021-05-11,Indeed.com 
73,Job_0073,Applied AI/ML Technical Program Manager,https://www.indeed.com/rc/clk?jk=be9ec2f9a1b64e28&fccid=aaf3b433897ea465&vjs=3,/Job_pages/73_2021-05-11,"Palo Alto, CA",2021-05-11,Indeed.com 
74,Job_0074, Vice President of Construction Houston Corporate,https://www.indeed.com/rc/clk?jk=ea98f7b8d2248fac&fccid=eec939828ff270ba&vjs=3,/Job_pages/74_2021-05-11,"Houston, TX 77070",2021-05-11,Indeed.com 
